item_name,item_id,user_name,rating
Moylans Tipperary Pale Ale,14765,doubelknv3,14
Guinness Draught,1267,jstu9,7
Anchor Small Beer,4729,rampmaster,10
Samuel Adams Boston Lager,158,DarkBeer,15
Guinness Foreign Extra Stout,12910,redgold07,19
Bascia Adi,73347,petrinisara,18
Scotch Irish Sgt. Majors IPA,12993,vanrassel,15
Kirin Ichiban,268,raymondwave,9
Rogue Double Dead Guy Ale,84460,chuwy,12
Szot Pale Ale,65189,Lilith,14
Tallgrass Oasis ESB,106308,islay,15
Firestone Walker 11 &#40;XI Quercus Alba&#41;,79566,kbutler1,19
Michigan Brewing Mackinac Pale Ale,6571,pauliefrog99,8
North Coast Old Rasputin Anniversary Bourbon Barrel Aged Stout,71101,Keir,16
Newcastle Brown Ale,132,smoosh,14
Real Ale Rio Blanco Pale Ale,8341,docsteigs,12
North Coast Old Rasputin Russian Imperial Stout,680,joeec5,17
Dogfish Head 90 Minute Imperial IPA,10569,Barnaby,19
Paulaner Original Mnchner Mrzen,18727,tennessejed420,14
Youngs Oatmeal Stout &#40;London Stout&#41;,22412,islay,11
Dogfish Head Red and White,63306,DrBayern,16
Smuttynose Wheat Wine,49566,mile,12
Black Oak Hop Bomb,50236,Sanchex,6
North Coast Brother Thelonious,58540,ljay6880,17
Les Frres Houblon Coureur des Bois,96967,EnSiFeRuM,12
Ringwood XXXX Porter,1264,neilrichards,13
Stoudts Oktoberfest,6248,strongpieman,13
Camo Silver Ice High Gravity Lager,24448,Hellafiedgame7,20
Bass Pale Ale,133,sethatuml,19
Sweetwater Tavern High Desert Imperial Stout,17562,wj94,18
Harboe Sklskr Original Stout,80821,Kimporator,3
Russian River Redemption &#40;Batch 002+&#41;,55794,aubreya,17
Jolly Pumpkin Noel de Calabaza,80393,georgebrassin,18
Smoky Mountain Cherokee Red Ale,12874,Anglofile,10
Taps Brown Ale,18437,MMM...Beer,15
Dogfish Head Burton Baton,39508,AlchemistZ,14
Great Divide Titan IPA,25083,movezig,14
Petes Wicked Summer Brew,471,erway,15
McEwans Scotch Ale,879,UselessGdTaste,14
Millstream Iowa Pale Ale,80628,brewmaster55,11
Great Lakes Oktoberfest,17359,dalepryor,14
Schneider & Brooklyner Hopfen-Weisse,75466,hapjydeuce,16
California Rollin Wasabi Brew,5154,GoldenSpunky,15
Magic Hat Fat Angel,1467,drinkbeer,14
Courage Directors &#40;Pasteurised&#41;,7211,Strange Brew,11
Jennings Laughing Gravy,156223,JorgeLee,13
Black Sheep Monty Pythons Holy Grail,5989,beerhugger,14
Sierra Nevada Kellerweis Hefeweizen,100383,Doon,15
Harpoon IPA,694,mkrill99,17
Breckenridge SummerBright Ale,15266,FlyingSwine,10
Bitburger Premium Pils,851,adamcbowman,3
Fitgers Chocolate Cherry Stout,154071,kbutler1,14
Brooklyn Monster Ale,538,BrewBoxer,17
Batemans Victory Ale &#40;Bottle&#41;,4674,CampbellWilson,16
Timmermans Framboise Lambic,7056,magsinva,9
Durham Evensong,23346,highlandlad,13
Stone Oaked Arrogant Bastard Ale,39654,blafa,14
Crown Wheat Stout,101928,greenmanalishi,11
Smoky Mountain Black Bear Ale,12875,mike67,14
Sly Fox Oatmeal Stout,42796,Mehmet22,17
Potbelly Captain Pigwash,100823,gary07734,14
Bush Ambre &#40;Scaldis&#41;,7040,Countbeer,13
The Duck-Rabbit Brown Ale,38877,2beerguys,11
Lost Abbey Serpents Stout,83778,dtborelli,17
McKenzie Instant Karma,41518,axilla,15
Saint Arnold Divine Reserve #5,77855,coldmeat23,19
Andechser Hell,6279,goozen,14
Rodenbach Grand Cru,1194,Boystout,16
Sierra Nevada Celebration Ale,370,naivepegasus,17
Hockley Valley Dark,31037,JohnBarleycorn,15
Tyranena Rockys Revenge Bourbon Brown,36791,ChairMissing,16
Otter Creek Raspberry Brown Winter Ale,80406,DukeBrewDevil,7
Sea Dog Blue Paw Wild Blueberry Wheat Ale,2176,TheWife,17
Caffreys,824,kingstratego,7
Samuel Adams Noble Pils,107598,Beaver,14
Redhook ESB,662,warrior,14
Pyramid Haywire Hefeweizen,951,TonyDiUlio,13
Sierra Nevada Pale Ale &#40;Bottle&#41;,365,davidCC,17
Schneider Aventinus Weizen-Eisbock,10514,grant,13
Lagunitas Maximus,7859,BrockLandersLS,16
Batemans Salem Porter,4672,RPillsbury,10
Genesee Beer,72,poisoneddwarf,3
Thomas Hooker Hop Meadow IPA,41740,DragonsHead,14
Victory HopDevil,618,KURTO99,20
Green Valley Brewing Stone Mill Pale Ale,59380,jainsv,9
Big Sky Moose Drool Brown Ale,5554,rader58,13
Storm Brewing Island Gold,59865,BeerMountie,3
Stone Ruination IPA,14709,DrBayern,18
Wychwood Goliath,12117,Pjones6738,9
Rogue HazelNut Brown Nectar,585,haggis03a3,17
Old Milwaukee,735,WabashMan,1
Lagunitas India Pale Ale,6887,Jonte,14
Rock Bottom Yorktown Fire Chief Ale,72386,kseecs16,13
Rogue Imperial Stout,5266,drismyhero,16
Magic Hat #9,1314,kimcgolf,13
Deschutes Miss Spelt Hefeweizen,100972,KUEric,12
Peroni,2917,Clyx,8
Butcombe Blond,33288,RichardWilding,15
Butternuts Porkslap Pale Ale,59676,joeyplush,11
Avery The Czar Imperial Stout,20295,jarow,15
The Duck-Rabbit Baltic Porter,63820,burg326,17
Founders KBS &#40;Kentucky Breakfast Stout&#41;,40544,Jesterdeal,18
Rogue Captain Sigs Deadliest Ale &#40;Northwestern Ale&#41;,96173,TEJA,14
Jacob Best Ice,8218,Nolan13WJ,20
Arundel St. Elmos Fire,110240,HighlanderOne,13
Tuborg Classic,8231,natedoggkc,7
New Holland Phi,37660,beeryum,15
Victory Golden Monkey,630,Loddeer,14
Goose Island Pere Jacques,24619,Blaketj80,15
Jolly Pumpkin Bam Biere,55372,dagimp,14
Bells Pale Ale,3207,drseamus,16
Dorada Extra Fuerte 6.0,18661,Lilith,9
Oud Beersel Bersalis Tripel,53967,laiti,14
Rothaus Pils Tannen Zpfle,9599,Bronstein,17
Founders Dirty Bastard Scotch Ale,11498,dtater,14
Au Matre Brasseur Lchevele,103670,Viper666,13
AleSmith Decadence 2008,103235,darkguardian,16
LandShark Lager,68574,HopBackDoc,11
Brooklyn Local 2,96545,XmnwildX12,16
Sierra Nevada Early Spring Beer &#40;ESB&#41;,82791,EKGoldings,11
Pinkus Pils,4553,Numenor,12
Franziskaner Hefe-Weissbier,1088,hrossrm,6
Mendocino Winter Seasonal Imperial IPA,80325,DenverLogan,15
Ommegang Hennepin,8837,erway,15
Ne Kopstoot,6995,LeoR,16
Casco Bay Carrabassett Pale Ale,18283,ruggedman,16
Michigan Brewing Celis White,16684,GreatSatanUSA,11
Corona Extra,742,Dorqui,5
Firehouse &#40;CA&#41; Leatherhead Brown Ale,100891,DubC5000,11
Oettinger Hefeweizen,9984,CEZ,12
Smuttynose Really Old Brown Dog Ale &#40;2008 and earlier&#41;,70847,RiverHorse,17
Highland Cattail Peak Wheat,85942,mhelgason,11
Lovely Valley Als Smooth Black & Tan,54935,GMan71,12
Founders Nemesis 2010,127196,monkeychugg55,16
Rogue Imperial Stout,5266,Chalsk,17
Tyranena BGW Dirty Old Man,84008,Alldaydrinker,17
Harveys Imperial Stout,6415,PattyBoy,13
Bengal Tiger,12955,Kiapepito,12
Bear Republic Big Bear Black Stout,9081,mattyb83,13
Yuengling Original Black and Tan,887,Foxbush,14
Bowen Island Traditional Lager,59118,RobBestwick,11
Ayinger Bru-Weisse,2716,Ceebs25,16
Lost Coast 8 Ball Stout,5583,jfenglish,11
Spaten Optimator,2094,eyes_wide_shut,16
Kalik,8682,Rhino,10
Dogfish Head Burton Baton,39508,Mangino,17
Sierra Nevada Porter,366,dkoonce,16
St. Ambroise Apricot Wheat Ale,846,BillyMidnight,16
Orval,835,forsides,16
North Coast Old No. 38 Stout,677,ericmc83,13
Great River Roller Dam Red Ale,105136,jlanning215,6
Good People Pale Ale,89047,Dogface,13
Tregs Dream Weaver Wheat,35827,RyanTHC,15
Brooklyn Lager,528,theacelatrain,12
Blue Moon Belgian White Ale,2228,jtxx,15
Anchor Liberty Ale,47,Ghett0Gary,17
Strohs Light,10663,GrainBeltGuzzler,5
Harpoon Octoberfest,701,Spookgolds,12
Coors Original,706,crzybob77,4
Stoudts Fat Dog Stout &#40;Vintages 2004 and later&#41;,38685,Jvittorio4187,17
Miller Genuine Draft Light &#40;MGD Light&#41;,406,spikester,7
Samuel Adams Holiday Porter,40127,tdcritch,14
Samuel Adams Pale Ale,1144,Ty5592,12
Icehouse,411,PSUJason99,5
Hook Norton Old Hooky &#40;Bottle&#41;,5045,Lunkie,11
Epic Hopulent IPA,122442,hallinghansen,16
Unibroue Maudite,1921,darkguardian,16
Avery Redpoint Ale,62,Ryan82SM,14
St Peters Best Bitter,5880,Sickboy282,15
Sierra Nevada Torpedo Extra IPA,59261,ska,15
Petrus Oud Bruin,9316,MrDick,14
Lagunitas India Pale Ale,6887,DrSilverworm,14
Victory Moonglow Weizenbock,628,GuilTTy,13
La Rulles Estivale,48719,weeare138,12
Samuel Adams 1790 Root Beer Brew,60406,Adverse2Bitter,7
Hydes Bells & Whistles,90175,tarjei,9
Mehana Hawaii Lager,42982,Foxbush,12
Southern Tier Imperial Oat,42946,mixmasterob,17
Bascia Frea,73349,Dorqui,13
Samuel Smiths Imperial Stout,85,LarsHolmer,18
Hagen Premium Malt Lager Beer,9151,thebaron99,8
Blue Point Hoptical Illusion,39047,mkgrenwel,8
Affligem Blonde,3733,Tranquillity,10
North End 5-Way IPA,67838,FuryHUH,15
Saranac Belgian White,554,BobbyW3363,13
Budweiser,473,MO BEER,6
Schlafly Kaldis Coffee Stout,14170,ford9719,11
Pretty Things American Darling,107013,RyanB,18
Ruckus Hoptimus Prime,61147,cmc619,12
Samuel Adams Cranberry Lambic,5929,Norton,6
Harpoon Ale,695,axilla,12
Gadds Dogbolter,43383,evergreen0199,14
Samuel Adams Cherry Chocolate Bock,140682,horto008,15
Stone 02.02.02 Vertical Epic Ale,12115,belgianhomebrew,15
Smuttynose Barleywine Style Ale,7087,cmillward,16
Tuborg Grn &#40;Green&#41;,3201,JanLaursen,9
Dix Scottish Ale,84801,mgermani,11
Fort Collins Z Lager,30639,Miver,14
Redhook Winterhook,668,obisbeer,6
Dieu du Ciel Rigor Mortis Tripel,8114,Crockett,14
Great Lakes Burning River Pale Ale,1224,edfitz,15
Saranac Pale Ale,544,Supaflyfresh99,7
Lost Abbey Cable Car &#40;2007-2010&#41;,76897,TheRealBastard,17
Stone Old Guardian &#40;Vintages 2004 and later&#41;,30838,greig,18
Busch Beer,492,sfontain,6
Magic Hat Blind Faith,1466,ghostmonkey,14
Black Oak Pale Ale,7701,cyrenaica,10
Three Floyds Alpha King,1432,alagnak,15
Three Floyds Bourbon Behemoth with Cherries,80385,lordeche,17
R.J. Rockers Bald Eagle Brown,24433,CoachJT,12
Anderson Valley Boont Amber Ale,330,erickok,17
Hawkshead Lakeland Lager,88441,albertane,13
Great Divide Fresh Hop Pale Ale,28450,screwball,18
Hair of the Dog Rose,569,Crafty07,13
Rogue American Amber Ale,579,Jmichael,12
Avery Mephistopheles Stout,55211,diabel,16
Grolsch Premium Blond,47917,tummybeerfigur,12
Stone 07.07.07 Vertical Epic Ale,74533,bombshelter,16
Left Hand Snow Bound Winter Ale,438,railcat1,17
La Caracole Ambre,5390,ghawener,6
21st Amendment Monks Blood,100023,BiddleBrau,14
New Belgium Lips of Faith - Adams Ale,103803,doublebock,16
Deschutes Mirror Pond Pale Ale,2126,eclaycamp,13
Roosters Outlaw Amarillo,55977,jehoey,15
Avery Anniversary Sixteen,101704,thomas15,14
Youngs Dirty Dicks Ale,2344,DavefromChicago,16
Lost Coast Alleycat Amber Ale,5606,brianprentiss,15
Moosehead Lager,203,RayOhm,10
Rogue Imperial Red,81707,ruggedman,16
HeBrew Jewbelation Twelve,94607,JoeTheYounger,16
Schmidt Beer,11246,maniac4016,9
Great Lakes Burning River Pale Ale,1224,Metalhead,14
Greene King IPA &#40;Cask&#41;,44839,jimbles85,2
Chimay Triple / Blanche &#40;White&#41; / Cinq Cents,52,gary07734,10
Two Brothers Heavy Handed India Pale Ale,10547,Maddog,12
Brooklyn Blast,51334,graham515,12
Flying Dog Gonzo Imperial Porter,45950,jgentgesdo,16
Leinenkugels Big Butt Doppelbock,10012,OhioBeerFan,18
Green Flash Hop Head Red,71321,tripelthreat,16
Rogue HazelNut Brown Nectar,585,Marc,17
Blue Moon Belgian White Ale,2228,KennethJ17,14
Bison Organic Red Ale,36383,phobos1031,13
Russian River Pliny the Elder,8936,cpetrone84,19
Tremont Mr. Oktoberfest Seasonal Ale,112028,agillespie81,10
New Glarus Yokel,55883,mfincher,12
Summit Unchained 01 German Style Klsch,104312,13mikey,8
Russian River Hop 2 It,43623,davidflores99,18
Maritime Pacific Jolly Roger Christmas Ale,11327,michaelinwa,18
Caldera IPA,22106,theempire,18
Ottenbru Heller Bock,160192,mcdav2154,15
Schlafly Helles,10923,wxman,10
HeBrew Genesis Ale,2685,Scubatrip,6
Grizzly Paw Moose Knuckle Beamers Coffee Stout,111746,solidfunk,10
Heritage Premium Lager,11180,MarkoR,10
Furthermore Hopperbolic,132191,sherm1016,14
Victory Golden Monkey,630,nightrider,17
Iron Horse Beer Shoppe 2nd Anniversary Black IPA,95076,brenn79,14
New Glarus Spotted Cow,7453,Jmichael,12
Smuttynose Imperial Stout,7086,VA Homebrewer,16
Grand Ridge Hat Lifter Stout,12073,hefevice,12
Grolsch Het Kanon,7212,borisz,10
AleSmith X,2492,unclebleen,15
Spaten Optimator,2094,jonno,14
Altenmnster Brauer Bier Urig Wrzig,15648,HermanW,11
OFallon Wheach,46637,Moleculeman,13
Stone Imperial Russian Stout,4315,kennydiaz,17
Kona Longboard Lager,2533,Oscbert,12
George Killians Irish Red,2331,weeicemon,12
Mountain Goat India Pale Ale,21556,mkel07,16
Spandauer Havelbru Hell,18809,kuphish,12
Stone Oaked Arrogant Bastard Ale,39654,calivania,16
Kozel Cerny &#40;Dark&#41; 10,390,Muggus69,12
Gouden Carolus Tripel,12799,CapedBrewsader,16
Rodenbach Grand Cru,1194,Ryan82SM,12
SKA Modus Hoperandi IPA,99487,arrogantb,14
Anchor Small Beer,4729,Choos,10
Blue Point Toxic Sludge,127676,jjuf1853,14
Sierra Nevada Porter,366,DrinkEmUpJones,13
3 Fonteinen Oude Geuze,11168,nolankowal,16
Carlsberg Lager,709,sihi,5
Flying Dog Road Dog Porter,686,Brandman,13
Stone Smoked Porter,421,TheCheeseMan,14
Harveys Imperial Stout,6415,waltersrj,10
Left Hand Smoked Goosinator Doppelbock,79164,FlagstoneHill,17
Beliy Medved v Rozliv,139446,thirstyrabbit,7
"Rogue Ten Thousand Brew Ale &#40;10,000&#41;",70787,carruthm,13
Rogue Brutal IPA,581,Cappadonna,15
Fort Collins The Incredible Hop - Imperial Black IPA,140493,Floback,16
La Chouffe,1614,Thomasalias,18
Sierra Nevada Pale Ale &#40;Bottle&#41;,365,BigMike,18
Palm Dobbel,3919,Sten,14
Stoudts Scotch Style Ale,2273,davesarman,18
Gales Trafalgar 200,44940,eczematic,15
Widmer Brothers Hefeweizen,606,Nel,9
Anderson Valley Brother Davids Double,7706,beerslayer,17
Morland Old Speckled Hen &#40;Filtered&#41;,670,MMM...Beer,15
Les 3 Fourquets Lupulus,83890,BartC,15
Harveys Christmas Ale &#40;Bottle&#41;,4362,Stefano,14
AleSmith IPA,14396,arrogantb,17
Jaxons Andale IPA,19734,Andrew196,12
SKA True Blonde Ale,2780,tennessejed420,14
Shorts Bellaire Brown,37136,mattmc1973,16
Bells Batch 6000 Ale,27800,AllAboutStout,13
Stone India Pale Ale &#40;IPA&#41;,422,adrenalinenova,18
Bud Light,474,ilherps,2
Maclays Traditional Pale Ale,6654,Skidds,7
Fucking Hell,135788,deanso,10
Speakeasy Double Daddy IPA,17012,SeanMacGC,16
Buffalo Tap Room Winterfest,42524,estoppel,13
Bergedorf,34186,haukur,6
Heineken Dark Lager,34662,Beloved Beer,16
Saranac Golden Pilsener,546,LordNeuf,18
Wye Valley HPA,15765,mwesth,12
Fullers ESB &#40;Bottle/Keg&#41;,290,ClubGonzo,14
Samuel Smiths Oatmeal Stout,87,ironryan22,14
Morland Original Bitter &#40;Cask&#41;,44832,mightynev,12
Heavy Seas Mutiny Fleet Below Decks,53895,hiphops,13
Plank Hefeweizen,13335,rings,18
Black Panther Stout,41375,Xiem,10
Caffreys,824,mixamatt,8
Firestone Walker 14,133383,mattyb83,17
Bornem Triple,3955,truebluehes,12
Samuel Smiths Winter Welcome Ale,95,ford9719,10
Flensburger Winterbock,39590,LoveCaissa,10
Port Brewing Wipeout IPA,14434,AGAquino,17
FiftyFifty 2010 Imperial Eclipse Stout &#40;Evan Williams Single Barrel&#41;,134100,wavers1,17
New Glarus Unplugged Old English Porter,107128,darkguardian,18
Captain Lawrence Cuvee de Castleton,71868,AtlAggie,17
Avery Redpoint Ale,62,NeonLX,16
Piraat 10.5%,3962,TomTron,16
Smuttynose Robust Porter,5576,dylan88,16
SKA Modus Hoperandi IPA,99487,natejgood,14
Rock Bottom Lumpy Dog Light Lager,10976,GermanBrews76,9
Cigar City Marshal Zhukovs Imperial Stout,95105,JoePeesie,20
Flying Dog In-Heat Wheat Hefeweizen,10811,milewide,14
Keltek Magik,47790,Nightfall,12
Abita Purple Haze,8,johno,9
Chatoe Rogue Wet Hop Ale,109910,ManvsCity,15
Allagash Tripel Reserve,3063,SimonPatrice,14
Heavy Seas Holy Sheet,70954,garrison,18
Victory HopDevil,618,MattAddis,17
AleSmith Speedway Stout,14232,jlieber17,18
Mickeys Fine Malt Liquor,2465,kalisto9,20
Coors Original,706,Fish,2
Central Waters Brewers Reserve Bourbon Barrel Stout,34746,Philip,17
Anchor Our Special Ale &#40;2005 and later&#41;,52930,VeloVampire,17
Schlitz Classic 1960s Formula,90494,dekester1,11
Old Milwaukee,735,olympian,2
Feldschlsschen Original,6620,Russo,10
Natural Ice,496,MP99,1
St Peters Ruby Red Ale,31057,ndon,14
Gutmann Oceanik Amber Ale,56188,davidpl,11
Founders Nemesis 2010,127196,Benjii,17
Tregs Splinter Black,132571,jmm635,16
Southern Tier Iniquity,97872,CelticBrew,14
Hook and Ladder Backdraft Brown Ale,5052,FSUScott,12
Breckenridge Oatmeal Stout,2438,P-tor44,16
Cigar City Humidor Series 110K+OT #3,127645,bvc,13
Palmetto Charleston Lager,15690,JJClark,12
Tuppers Keller Pils,2358,webjedi,14
Michelob Porter,65139,SturmWulf,18
Dogfish Head Chicory Stout,1190,Wiseblood,13
Weyerbacher Double Simcoe IPA,59030,HighGravity,10
Paulaner Hefeweissbier Alkoholfrei,37211,ha1ag,9
Ithaca Pale Ale,3510,tagz,12
Dark Horse Plead the 5th Imperial Stout,42502,Inveigler,16
North Coast Brother Thelonious,58540,WeeObese,17
New Belgium 2 Below Winter Ale,51118,Vikingbrew,11
Moo Brew Pilsner,60087,mkel07,15
Black Star Black Lager,507,Gregory,15
Brgerbru Wolnzacher Festbier,101838,happy4hops,10
Lost Abbey Duck Duck Gooze,105767,gorditoabd,18
J.W. Lees Manchester Star Ale,14651,Ryan82SM,13
Brooklyn Black Ops,82103,Niko100,16
Haacht Mystic Witbier met Perzik,144955,Yves,8
Drakes Expedition Ale,8724,leninthedesert,15
Stone 11.11.11 Vertical Epic Ale,158413,badwhale,13
Newcastle Brown Ale,132,TheBeerCollector,15
Great Divide Hibernation Ale,1653,Ktwse,15
Paulaner Original Mnchner Mrzen,18727,GuilTTy,13
Schneider & Brooklyner Hopfen-Weisse,75466,wheninhell,17
Capital Maibock,858,chimpscampee,15
Jackie-Os Funky South Paw,134339,Damico,18
Gulden Draak,3958,Veeve,11
Creemore Springs Premium Lager,5202,Weedking4,7
Widmer Brothers Brrr Seasonal Ale,94464,pj1855,14
Big Sky Cowboy Coffee Porter,121259,Finhead,14
Southern Tier Pale Ale,106546,hatchattack,11
BridgePort IPA,106,Brodie,14
Thomas Creek Up the Creek Extreme IPA,100605,bretupdegraff,15
Abbaye des Rocs Brune,832,fishingnet,16
MacTarnahans Mac Frost Winter Ale,18557,beerhandy,16
Niagaras Best Blonde Premium Ale,47461,lowg,12
Fullers ESB &#40;Bottle/Keg&#41;,290,andyhwcinc,14
Avery Old Jubilation Ale,68,nathan30533,16
Green Flash Hop Head Red,71321,sepia5,16
Carlsberg Lager,709,2Pac,10
La Bavaisienne Blonde,60710,finol,15
Oakshire Watershed IPA,80183,TipsyMcStager,15
Bells Twenty-Fifth Anniversary Ale,129169,weihenweizen,11
Ename Blonde,6399,Vaiz,13
Westvleteren 12,4934,Nesta13,19
BJs Jeremiah Red,2592,bigbish,14
Ommegang Ommegeddon,43665,KingpinIPA,17
Bud Light,474,bigguns22,8
Schfferhofer Hefeweizen,10733,gulf690,14
Ls Ale 24 - Den brune Bi,63106,TorbenH,12
The Bruery Batch 300 Tripel,145154,hamilton23,17
Third Coast Old Ale,3213,steview,17
Dundee Original Honey Brown Lager,82,MGDkilla,16
Great Divide Yeti Imperial Stout,25082,orville,15
Southampton Triple Abbey-Style Ale,26782,Reynolds314,12
Alaskan Smoked Porter,16,MMMBEERLS,5
Tregs JavaHead Stout,95497,JediMindTricks,12
Schmidt Beer,11246,uglyblond1,11
Warsteiner Premium Verum,1417,Gareth,1
Carlsberg Carls Ale,60073,lytzenhoff,12
LAmre  Boire Fin de Sicle,10268,BroueNeault,15
Samuel Adams Summer Ale,171,freezy,8
Crooked River Lighthouse Gold,1636,ravidesai,14
Point Amber Classic Beer,3866,antisnobJP,13
Two Hearted Ale,1502,Panzuriel,12
Battered Boar Company Man Pale Ale,109713,webbcreative,12
Blue Moon Harvest Moon Pumpkin Ale,2262,stchloe,1
Goose Island PMD Mild Ale,27008,wheninhell,11
Rogue Honey Cream Ale,584,khayman70,17
Boulevard Unfiltered Wheat Beer,114,manolager,7
Sixpoint Diesel Stout,47131,bp,18
Kona Fire Rock Pale Ale,2511,mcc5468,10
Capital Kloster Weizen,857,bluemeow76,13
Bockor Bellegems Wit,88832,wimpie133,13
Southern Tier Gemini,81813,thooper41,17
Hannen Alt,9796,inbirraveritas,14
Samuel Adams Chocolate Bock,29842,sjolles85,16
Leinenkugels Sunset Wheat,57459,jfenglish,2
Jolly Pumpkin Bam Biere,55372,m4rest88,17
Back Road Millennium Lager,20000,krisbierjaeger,9
Chimay Rouge &#40;Red&#41; / Premire,51,Mathieu87,17
Herslev Four Grain Stout,55867,Dalle,13
Three Floyds Dreadnaught Imperial IPA,8933,ElBastardo,19
Achel 8 Blond,10050,malty,16
Youngs Bitter,134,ALLOVATE,13
Dominion Millennium,7874,diabel,14
Lako Export Pils,12667,estpiwo,8
Moosehead Lager,203,daniel0017,11
Milwaukees Best,412,ahole,1
Capital Vintage Ale,66341,CarterHayes,7
Sierra Nevada Pale Ale &#40;Bottle&#41;,365,wnhay,17
Ballast Point Dorado Double IPA,27722,p1meatloaf,15
Rogue Old Crustacean Barleywine,594,cprochak,12
Atlantic Coal Porter,2396,polomagnifico,12
Solera,8567,mabjork,6
Appalachian Dom Blonde Klsch,75050,PapaSkeetSkeet,14
St. Ambroise Oatmeal Stout,839,GrainBeltGuzzler,18
Bullfrog Apricot Wheat &#40;Kegs Gone Wild&#41;,101673,soto,20
Unibroue Maudite,1921,BeerBlockaid,19
Captain Lawrence Captains Reserve Imperial IPA,57994,SkateSRT8,17
Samuel Adams Boston Lager,158,Duke,15
Samuel Adams Cream Stout,162,cainede,17
Bass Pale Ale,133,gururyan,12
Emersons APA,40286,yalnikim,18
Samuel Adams Traditional Ginger Honey Ale,60513,jtw,11
75th Street Aviator Oatmeal Stout,21658,jandd1983,11
Ballast Point Brandy Barrel Aged Navigator Doppelbock,99017,padrefan98,17
Titanic Nine Tenths Below,139760,niquillis,12
Collaborator Cascadian Dark Ale,79448,SamuraiArtist,15
Sierra Nevada Pale Ale &#40;Bottle&#41;,365,Tcup,15
Fullers ESB &#40;Bottle/Keg&#41;,290,wernesgruner,17
Rock Bottom Warrenville Demon Sweat Bitter,52647,BCAR,12
Saint Arnold Summer Pils,34247,uhorpheus,14
Allagash Curieux,38037,TipsyMcStager,16
Schloss Eggenberg MacQueens Nessie &#40;7.3%&#41;,868,jmuhops,11
Holy Mackerel Mack in Black,84998,padrefan98,14
Carlsberg Carls Hvede,13892,Baadstorp,9
Ottos Jolly Roger Imperial Stout,60439,juiceisloose,17
Moylans Hefe Doppel Weizen,110567,mrhoppy,20
Mendocino Red Tail Ale,353,efrumtheidiot,11
Karlova&#269;ko Pivo,9372,carruthm,9
Lost Coast Great White,5584,beervana,16
Alaskan Smoked Porter,16,lakersfan16,18
Free State Old Backus Barleywine,2943,weeare138,16
Dogfish Head Chateau Jiahu,47985,TurkeyBoy,17
Triumph Jewish Rye Beer,15009,Adam77,15
Breckenridge Oatmeal Stout,2438,brokephibroke,12
Quilmes Cristal,7485,raymow,7
Holy Mackerel Special Golden Ale,71477,smhncabot,15
Samuel Adams Irish Red Ale,72240,Chapel,13
Jever Pilsener,4003,Hoser,12
Goose Island Honkers Ale,811,Shrews629,15
Carmel Pale Ale,62655,EdKing,5
Jolly Pumpkin Bam Biere,55372,mkofron,17
Dieu du Ciel Pch Mortel,11461,ironchefscott,17
Sierra Nevada Torpedo Extra IPA,59261,swanmann,18
Bells Consecrator Doppelbock,3221,queenholly,15
Samuel Adams Old Fezziwig Ale,5928,dzimm27,11
Natural Ice,496,cloudstrife,4
Sierra Nevada Weizenbock,95471,queenholly,15
Anchor Old Foghorn Ale,4728,pellegjr,17
21st Amendment Hop Crisis&#033;,84021,GMUcrew7,15
Shock Top Raspberry Wheat,140835,stangger,7
